Date,Open,High,Low,Close,Volume,Company
30-11-2020,111.5999985,112.1999969,110.2699966,110.5199966,36162300,APPLE
01-12-2020,110.3700027,110.9400024,109.0299988,109.4899979,37086900,APPLE
02-12-2020,109.1699982,110.0899963,108.8499985,109.9000015,26528000,APPLE
05-12-2020,110,110.0299988,108.25,109.1100006,34324500,APPLE
06-12-2020,109.5,110.3600006,109.1900024,109.9499969,26195500,APPLE
07-12-2020,109.2600021,111.1900024,109.1600037,111.0299988,29998700,APPLE
08-12-2020,110.8600006,112.4300003,110.5999985,112.1200027,27068300,APPLE
09-12-2020,112.3099976,114.6999969,112.3099976,113.9499969,34402600,APPLE
12-12-2020,113.2900009,115,112.4899979,113.3000031,26374400,APPLE
13-12-2020,113.8399963,115.9199982,113.75,115.1900024,43733800,APPLE
14-12-2020,115.0400009,116.1999969,114.9800034,115.1900024,34031800,APPLE
15-12-2020,115.3799973,116.7300034,115.2300034,115.8199997,46524500,APPLE
16-12-2020,116.4700012,116.5,115.6500015,115.9700012,44351100,APPLE
19-12-2020,115.8000031,117.3799973,115.75,116.6399994,27779400,APPLE
20-12-2020,116.7399979,117.5,116.6800003,116.9499969,21425000,APPLE
21-12-2020,116.8000031,117.4000015,116.7799988,117.0599976,23783200,APPLE
22-12-2020,116.3499985,116.5100021,115.6399994,116.2900009,26085900,APPLE
23-12-2020,115.5899963,116.5199966,115.5899963,116.5199966,14249500,APPLE
27-12-2020,116.5199966,117.8000031,116.4899979,117.2600021,18296900,APPLE
28-12-2020,117.5199966,118.0199966,116.1999969,116.7600021,20905900,APPLE
29-12-2020,116.4499969,117.1100006,116.4000015,116.7300034,15039500,APPLE
30-12-2020,116.6500015,117.1999969,115.4300003,115.8199997,30586300,APPLE
03-01-2021,115.8000031,116.3300018,114.7600021,116.1500015,28781900,APPLE
04-01-2021,115.8499985,116.5100021,115.75,116.0199966,21118100,APPLE
05-01-2021,115.9199982,116.8600006,115.8099976,116.6100006,22193600,APPLE
06-01-2021,116.7799988,118.1600037,116.4700012,117.9100037,31751900,APPLE
09-01-2021,117.9499969,119.4300003,117.9400024,118.9899979,33561900,APPLE
10-01-2021,118.7699966,119.3799973,118.3000031,119.1100006,24462100,APPLE
11-01-2021,118.7399979,119.9300003,118.5999985,119.75,27588600,APPLE
12-01-2021,118.9000015,119.3000031,118.2099991,119.25,27086200,APPLE
13-01-2021,119.1100006,119.6200027,118.8099976,119.0400009,26111900,APPLE
17-01-2021,118.3399963,120.2399979,118.2200012,120,34439800,APPLE
18-01-2021,120,120.5,119.7099991,119.9899979,23713000,APPLE
19-01-2021,119.4000015,120.0899963,119.3700027,119.7799988,25597300,APPLE
20-01-2021,120.4499969,120.4499969,119.7300034,120,32597900,APPLE
23-01-2021,120,120.8099976,119.7699966,120.0800018,22050200,APPLE
24-01-2021,119.5500031,120.0999985,119.5,119.9700012,23211000,APPLE
25-01-2021,120.4199982,122.0999985,120.2799988,121.8799973,32377600,APPLE
26-01-2021,121.6699982,122.4400024,121.5999985,121.9400024,26337600,APPLE
27-01-2021,122.1399994,122.3499985,121.5999985,121.9499969,20562900,APPLE
30-01-2021,120.9300003,121.6299973,120.6600037,121.6299973,30377500,APPLE
31-01-2021,121.1500015,121.3899994,120.6200027,121.3499985,49201000,APPLE
01-02-2021,127.0299988,130.4900055,127.0100021,128.75,111985000,APPLE
02-02-2021,127.9800034,129.3899994,127.7799988,128.5299988,33710400,APPLE
03-02-2021,128.3099976,129.1900024,128.1600037,129.0800018,24507300,APPLE
06-02-2021,129.1300049,130.5,128.8999939,130.2899933,26845900,APPLE
07-02-2021,130.5399933,132.0899963,130.4499969,131.5299988,38183800,APPLE
08-02-2021,131.3500061,132.2200012,131.2200012,132.0399933,23004100,APPLE
09-02-2021,131.6499939,132.4499969,131.1199951,132.4199982,28349900,APPLE
10-02-2021,132.4600067,132.9400024,132.0500031,132.1199951,20065500,APPLE
13-02-2021,133.0800018,133.8200073,132.75,133.2899933,23035400,APPLE
14-02-2021,133.4700012,135.0899963,133.25,135.0200043,33226200,APPLE
15-02-2021,135.5200043,136.2700043,134.6199951,135.5099945,35623100,APPLE
16-02-2021,135.6699982,135.8999939,134.8399963,135.3500061,22584600,APPLE
